equipment_name,amount,min_amount,building_id
Wheelbarrows,2,8,16993
Cordless Drills,7,13,11692
Polycarbonate Shields,6,13,16098
PALLET RACK UPRIGHTS,29,7,8589
"Risers, Raised Decking   Shelves",50,12,6072
Kits,4,8,17158
All Sneeze Guard Shields,41,9,11957
"Matting, Mounting  ",25,11,10563
Floor Standing Dividers,36,9,16440
Display,49,11,7248
Display Pedestals,6,13,10500
Canvas Painting Kits,9,13,10466
Acrylic Shelf Risers,49,14,9982
Sierra,42,15,154
Hand Tools,2,9,10066
Pens,38,15,15389
Deodorizers,27,10,14508
Tissue,14,13,18736
Spatulas,44,10,13888
KEYSTONE PALLET RACK,14,13,4971
Gym Sneeze Guards,43,7,19935
Traffic Management,35,11,9366
POWER CONVEYOR,30,6,10184
Curator,12,9,6430
Cable raceway ,42,9,15020
Suggestion Box And Ballot Boxes,8,5,13855
Mounts,41,11,17265
Rack storage drawer ,20,8,7617
Scrapbooks,41,9,14147
Albums,13,7,13491
Indoor Dining Dividers,20,12,18298
Tablet Holders,4,10,14443
Lawn Aerators,23,8,7050
5-Sided Acrylic Boxes,38,8,16164
Cable management tray ,15,5,12644
Floor Standing Dump Bins,36,15,18648
TAPE,47,10,14014
Steam Cleaners,9,5,17138
Movie Theater Sneeze Guard Barriers,22,14,4669
Acrylic Platform Risers,6,11,11423
DRIVE-IN RACK,24,7,11002
Vacuum Supplies,28,9,18238
Keyboard tenting set ,22,5,1466
Backing Boards,22,10,16760
Prevention,11,7,17815
Keyboard/mouse tray ,1,12,12205
CANTILEVER RACK,15,6,14793
Inspection Tools,40,12,1288
Garden Power Tools,50,7,18600
Rolls,41,13,12498
Keyboard accessories kit ,30,9,7427
PICK MODULES,16,15,6369
Record Storage Cartons,38,9,19956
Sponges,0,11,19827
FORKLIFTS,13,6,15801
Trays,49,6,12507
Retail Shelving And Racks,38,7,17405
Wooden Display Stands,11,10,7044
WIRE DECKING,17,14,12133
"Airport, Train Station",37,7,7184
Rotary Hammer Drills,47,14,11474
Display Cases,32,11,327
Calligraphy,41,10,16757
Condiment Organizers,1,11,6935
Monitor arm ,4,5,3169
Rack shelf ,34,9,13175
Soaps,22,7,4446
Keyboard wrist rest ,8,14,16357
Framing,0,8,17758
Handheld Scrubbing Pads,45,9,18460
Stain Removal,25,6,13608
Trowels,6,14,13757
Trackpoint cap ,38,7,1772
Dump Bins,44,9,7546
Counter Top Display Cases,21,14,10752
Sports Display Cases For Memorabilia,24,14,18583
STEEL SHELVING,5,10,18697
Cutters,27,9,11215
Counter Top Displays,13,13,5124
Upholstery Chemicals,15,8,18379
Gridwall,17,10,551
Keyboard mounting kit ,34,6,12590
Display Boxes With Bases,50,10,4764
Table Dividers,40,15,15999
MEZZANINE CATWALKS,2,9,10246
Weights,24,11,5140
Office Sneeze Guards,5,13,17563
Lighted Pedestals,29,15,5955
Tweezers,41,8,11000
Matting,36,7,6938
Mop Frames,18,9,18374
"Banners, Flags, and Portable Displays",7,6,11593
Harvest Tools,44,15,641
Lawn,2,9,19001
Combo Kits,5,6,11575
Desk Shields,27,10,4630
Restroom,40,11,18076
CARTON FLOW RACK,33,15,17393
Auto Detailing Extractors,34,10,6870
Display Boxes,26,12,16405
Covers,48,6,15427
"Envelopes, Sleeves",42,8,7683
Canvas Panels,49,5,5006
Mirrored Pedestals,42,9,7424
Absorbents,10,14,11685
Parts Washing Tanks,48,8,636
Acrylic Pedestal Risers,3,15,8521
Frames,31,6,3817
Bus Stop Sneeze Guard Barriers,1,6,19680
Custom Printed Acrylic Boxes,7,9,5518
Auto Detailing Chemicals,30,8,12743
Cleaners,24,12,2232
Kitchen,48,12,12192
Food Display Cases,41,6,17849
BOARDS,26,12,1298
Wood,14,7,4821
Stretched Canvas,25,8,5585
PAPERS,21,12,8696
Counter Mats,4,7,15908
Specialty Serving Displays,50,10,10445
Panels,49,14,6045
Sculpture Pedestal,47,5,19638
CONVEYOR,18,10,5277
Pencils,2,13,18628
Trigger Sprayers,5,15,10051
Vacuums,23,15,962
Cradles,18,7,16949
Foot rest ,36,5,5927
Mini Canvas,37,7,18732
Sanitizers,20,13,870
Shields For Municipalities,2,12,1064
Window,25,6,5960
Protectors,26,10,6397
Pump-Up Dispensers,46,7,12492
Auto Detailing Safety Supplies,6,15,19266
Drafting,0,11,6133
System cart ,24,8,14840
Tablet Stands and Holders,39,9,958
Sleeves,18,8,8628
MFP stand with cabinet ,8,12,2710
Batteries,44,12,15975
PALLET RACK BEAMS,5,8,6175
Pamphlet,22,9,11746
Pedestal Display Case,6,5,6891
Super Value Pack Canvas,2,6,19807
Barriers,12,10,18393
Weeding Tools,31,5,10385
Crystal Cubes,7,7,17262
Scanner floor stand with catch basket ,40,15,6412
Acrylic Display Stands,15,6,6398
Cases,7,5,18764
Acrylic Shoe Risers,24,14,10973
BOOK PRESSES,27,11,19607
Loppers,7,7,6711
Cylinder Pedestals,41,7,5515
Rollie Mobile,12,6,8381
Keyboard drawer ,24,14,12301
Repair Tools,49,12,10081
Identification,9,11,9738
Forms,26,15,12112
SHELVING,40,6,14645
Value Pack Canvas,27,15,14810
Mirrored Boxes,42,7,18628
"Sneeze Guard Clips, Brackets",28,5,19728
Rack keyboard shelf ,0,7,14985
Rack door ,34,11,1731
Gem,26,6,6838
Portable,38,5,5856
"Wooden Podiums, Lecterns, And Pulpits",38,6,14167
Canvas Folds,13,6,8760
Film Storage,14,6,7795
Metal Display Stands,11,5,7502
Output tray ,49,5,9894
PUSHBACK RACK,22,10,19104
Swiffers,14,9,7135
School Sneeze Guards | Student Desk Shields | Classroom Dividers,46,12,18867
Acrylic Tiered Risers,31,14,3937
Chalkboard Signs,39,10,8367
Printer stand,5,15,15126
Keyboard/mouse arm mount tray ,26,15,14151
Notebook security cabinet ,29,15,15898
Microform Storage,18,15,12342
Measuring Devices,22,10,6568
Food Service,28,6,17806
Foot-rest ,38,13,16537
Office Organizers,7,6,17722
Keyboard key stickers ,47,11,3591
Ceiling Hanging Sneeze Guards,37,14,7657
Little Gem,17,6,2908
Envelopes,4,11,18487
STORAGE RACK SYSTEMS,16,14,11838
Disinfectants,14,10,6253
Plinths,7,14,13625
Event Venue Sneeze Guards,33,10,6166
TEARDROP PALLET RACK,23,11,17716
Mop Kits,11,9,10164
Metro,33,14,1359
Acrylic Display Pedestals,42,9,11220
Mounting bracket ,8,12,17873
Hedge Shears,46,9,7841
GRAVITY CONVEYOR,49,14,5544
Document Cases,25,11,4472
Acrylic Furniture,37,12,11174
Easels,3,7,1911
Labeling,26,7,8079
MEZZANINE,1,6,15738
Mop Heads,35,15,1900
Dusters,35,13,13034
Floral Displays,31,12,13129
Portable Flat-Packed Displays,36,14,18756
System unit holder ,19,11,7474
Cloths,45,7,2065
"Pails, Mop Buckets",20,7,3512
Hard Surface Cleaners,38,9,6717
Spades,31,8,10697
Table Covers,36,8,8412
Garden Knives,4,12,7051
Wall Mount Display Cases,45,9,15678
