room_id,room_type_id,department_id,building_id
11,3,260,1
12,2,532,1
13,1,587,1
14,1,647,1
15,1,854,1
16,1,455,1
17,1,865,1
18,2,309,1
19,1,377,1
110,1,772,1
111,2,860,1
21,3,713,2
22,2,300,2
23,1,36,2
24,1,897,2
25,1,670,2
26,1,974,2
27,1,982,2
28,2,708,2
29,1,271,2
210,2,566,2
211,1,69,2
31,3,437,3
32,2,518,3
33,1,272,3
34,1,229,3
35,1,116,3
36,1,588,3
37,1,218,3
38,1,949,3
41,3,46,4
42,2,11,4
43,1,610,4
44,1,925,4
45,1,202,4
46,1,98,4
47,2,666,4
48,2,667,4
51,3,551,5
52,2,40,5
53,1,17,5
54,1,252,5
55,1,33,5
56,1,570,5
57,2,929,5
58,2,579,5
61,3,82,6
62,2,580,6
63,1,150,6
64,1,338,6
65,1,454,6
66,1,201,6
67,1,168,6
68,5,454,6
69,1,427,6
610,1,348,6
71,3,31,7
72,2,927,7
73,1,723,7
74,1,175,7
75,1,201,7
76,1,349,7
77,1,604,7
78,2,490,7
79,1,863,7
710,1,268,7
81,3,197,8
82,2,502,8
83,1,513,8
84,1,148,8
85,1,905,8
86,1,487,8
87,1,986,8
88,1,348,8
91,3,721,9
92,2,254,9
93,1,107,9
94,1,116,9
95,1,486,9
96,1,591,9
97,1,227,9
98,1,443,9
101,3,102,10
102,2,343,10
103,1,17,10
104,1,748,10
105,1,246,10
106,1,112,10
107,1,139,10
108,1,950,10
109,5,447,10
1010,1,884,10
111,3,670,11
112,2,706,11
113,1,236,11
114,1,904,11
115,1,192,11
116,1,740,11
117,1,596,11
118,1,523,11
121,3,676,12
122,2,331,12
123,1,258,12
124,1,517,12
125,1,384,12
126,1,765,12
127,1,176,12
128,1,536,12
129,1,402,12
131,3,930,13
132,2,701,13
133,1,186,13
134,1,88,13
135,1,722,13
136,1,865,13
137,1,16,13
138,2,679,13
139,1,595,13
1310,5,817,13
1311,1,400,13
141,3,755,14
142,2,910,14
143,1,784,14
144,1,513,14
145,1,440,14
146,1,865,14
147,1,689,14
148,1,83,14
151,3,429,15
152,2,716,15
153,1,411,15
154,1,800,15
155,1,546,15
156,1,102,15
157,1,387,15
158,1,580,15
161,3,41,16
162,2,587,16
163,1,427,16
164,1,138,16
165,1,877,16
166,1,780,16
167,1,745,16
168,5,982,16
171,3,954,17
172,2,771,17
173,1,755,17
174,1,980,17
175,1,295,17
176,1,461,17
177,1,351,17
178,1,769,17
181,3,311,18
182,2,10,18
183,1,136,18
184,1,862,18
185,1,366,18
186,1,605,18
187,1,913,18
188,4,316,18
189,1,382,18
1810,4,293,18
1811,1,382,18
191,3,833,19
192,2,658,19
193,1,766,19
194,1,271,19
195,1,705,19
196,1,931,19
197,1,186,19
198,1,567,19
199,1,420,19
1910,4,988,19
1911,1,891,19
201,3,644,20
202,2,641,20
203,1,169,20
204,1,148,20
205,1,557,20
206,1,144,20
207,1,578,20
208,1,743,20
209,4,774,20
2010,1,866,20
211,3,740,21
212,2,265,21
213,1,530,21
214,1,376,21
215,1,827,21
216,1,264,21
217,1,789,21
218,1,825,21
221,3,233,22
222,2,537,22
223,1,795,22
224,1,998,22
225,1,567,22
226,1,856,22
227,1,483,22
228,4,945,22
229,2,82,22
2210,1,582,22
2211,1,67,22
231,3,471,23
232,2,603,23
233,1,465,23
234,1,276,23
235,1,457,23
236,1,580,23
237,1,777,23
238,1,503,23
239,1,791,23
241,3,429,24
242,2,221,24
243,1,546,24
244,1,967,24
245,1,851,24
246,1,773,24
247,1,459,24
248,1,807,24
249,1,984,24
2410,1,852,24
251,3,781,25
252,2,8,25
253,1,690,25
254,1,15,25
255,1,962,25
256,1,361,25
257,5,234,25
258,1,559,25
259,5,524,25
2510,1,571,25
261,3,251,26
262,2,681,26
263,1,748,26
264,1,557,26
265,1,142,26
266,1,6,26
267,5,745,26
268,1,77,26
269,1,393,26
2610,1,499,26
2611,1,783,26
271,3,940,27
272,2,254,27
273,1,903,27
274,1,792,27
275,1,716,27
276,1,187,27
277,1,701,27
278,1,368,27
279,4,928,27
2710,5,695,27
281,3,956,28
282,2,744,28
283,1,727,28
284,1,68,28
285,1,76,28
286,1,852,28
287,4,173,28
288,1,731,28
291,3,399,29
292,2,50,29
293,1,286,29
294,1,537,29
295,1,824,29
296,1,103,29
297,1,27,29
298,5,906,29
299,1,253,29
2910,1,903,29
301,3,695,30
302,2,404,30
303,1,936,30
304,1,875,30
305,1,692,30
306,1,656,30
307,1,876,30
308,5,251,30
309,1,510,30
3010,1,782,30
3011,1,145,30
311,3,819,31
312,2,731,31
313,1,382,31
314,1,733,31
315,1,364,31
316,1,250,31
317,1,235,31
318,2,653,31
321,3,408,32
322,2,767,32
323,1,585,32
324,1,579,32
325,1,761,32
326,1,422,32
327,5,626,32
328,5,278,32
329,2,979,32
331,3,505,33
332,2,890,33
333,1,241,33
334,1,606,33
335,1,859,33
336,1,801,33
337,1,831,33
338,1,648,33
341,3,46,34
342,2,529,34
343,1,504,34
344,1,749,34
345,1,943,34
346,1,833,34
347,1,522,34
348,2,328,34
349,2,746,34
3410,1,92,34
3411,5,953,34
351,3,398,35
352,2,380,35
353,1,879,35
354,1,889,35
355,1,404,35
356,1,460,35
357,2,423,35
358,1,526,35
