room_id,room_type_id,department_id,building_id
11,3,336,1
12,2,995,1
13,1,900,1
14,1,497,1
15,1,102,1
16,1,86,1
17,1,819,1
18,1,50,1
19,1,499,1
110,1,594,1
21,3,608,2
22,2,433,2
23,1,504,2
24,1,390,2
25,1,221,2
26,1,975,2
27,1,358,2
28,1,28,2
31,3,827,3
32,2,973,3
33,1,766,3
34,1,310,3
35,1,175,3
36,1,882,3
37,1,229,3
38,1,297,3
39,1,812,3
41,3,176,4
42,2,719,4
43,1,800,4
44,1,648,4
45,1,999,4
46,1,837,4
47,1,86,4
48,1,26,4
49,5,610,4
410,4,299,4
51,3,619,5
52,2,858,5
53,1,816,5
54,1,288,5
55,1,352,5
56,1,525,5
57,2,852,5
58,2,349,5
59,5,807,5
510,4,151,5
511,1,839,5
61,3,792,6
62,2,160,6
63,1,1001,6
64,1,990,6
65,1,440,6
66,1,670,6
67,1,887,6
68,1,614,6
69,1,175,6
610,1,637,6
71,3,379,7
72,2,564,7
73,1,704,7
74,1,270,7
75,1,949,7
76,1,634,7
77,1,908,7
78,1,141,7
79,1,563,7
710,2,853,7
81,3,646,8
82,2,57,8
83,1,775,8
84,1,18,8
85,1,865,8
86,1,419,8
87,5,351,8
88,5,61,8
89,1,289,8
91,3,382,9
92,2,941,9
93,1,2,9
94,1,819,9
95,1,499,9
96,1,638,9
97,1,378,9
98,1,674,9
99,5,209,9
910,1,457,9
911,1,879,9
101,3,220,10
102,2,749,10
103,1,444,10
104,1,375,10
105,1,397,10
106,1,544,10
107,2,985,10
108,4,208,10
109,1,966,10
1010,1,375,10
1011,1,300,10
111,3,410,11
112,2,715,11
113,1,558,11
114,1,343,11
115,1,13,11
116,1,577,11
117,5,877,11
118,1,615,11
119,4,266,11
1110,1,100,11
121,3,790,12
122,2,872,12
123,1,779,12
124,1,780,12
125,1,704,12
126,1,962,12
127,1,752,12
128,1,575,12
129,1,776,12
1210,1,355,12
131,3,121,13
132,2,518,13
133,1,88,13
134,1,743,13
135,1,148,13
136,1,964,13
137,2,179,13
138,1,47,13
139,1,61,13
1310,2,919,13
141,3,220,14
142,2,452,14
143,1,808,14
144,1,745,14
145,1,650,14
146,1,914,14
147,1,635,14
148,1,315,14
149,1,814,14
151,3,141,15
152,2,565,15
153,1,631,15
154,1,932,15
155,1,169,15
